"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 7"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 5"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 11"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1968"
