<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@23f0b55","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","doShowMenu(), gameLife=0, level=1, mScore=0"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (230ms)"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@a74520e","class com.funbox.game.angxde.Main"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","doShowMenu(),gamePause=FALSE"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-2m59s957ms barrier=0 }"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"ccn.ac"
;		headID.appendChild(cssNode);","headID.appendChild(cssNode);"
;ORTAL_IS.CONF.MULTI_PORTALS.XSRF_TOKEN			= \""\"";","TAL_IS.CONF.MULTI_PORTALS.XSRF_TOKEN			= """";"
<java.io.Writer: void write(java.lang.String)>;"
<android.view.View: void setBackgroundColor(int)>;"-16777216"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (30ms)"
;ORTAL_IS.CONF.AJAX_REQ_TIMEOUT = 15000;","TAL_IS.CONF.AJAX_REQ_TIMEOUT = 15000;"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Length","249"
;
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameAd","showId=-1,clickId="
<meta name=\""robots\"" content=\""noindex,nofollow\"" />;"meta name=""robots"" content=""noindex","nofollow"" />"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (19ms)"
<android.view.View: void setVisibility(int)>;"0"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@409d6ad","class com.funbox.game.angxde.Main"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@32906fc","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
;<android.util.Log: int v(java.lang.String,java.lang.String)>;"GMenu","New Game...called, new itMain"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@8f6dbd6","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
